ProSt=ProState, ready=0,waiting=1, runnning=2
Inst_ID: Progress Initiated=-1
PID	Prior	InstID	InstNum	ProSt	InTm	RunTm	TotalTm
0	2	-1	11	1	1005	2	--	
0	2	0	11	1	1005	20	--	
0	2	1	11	1	1005	40	--	
0	2	2	11	1	1005	60	--	
0	2	4	11	1	1005	381	--	
1	3	-1	12	2	2009	0	--	
1	3	-1	12	1	2009	3	--	
1	3	0	12	1	2009	409	--	
0	2	8	11	1	1005	1416	--	
2	1	-1	20	0	2440	0	--	
1	3	1	12	1	2009	466	--	
0	2	10	11	1	1005	1803	1803	
3	2	-1	5	0	3417	0	--	
1	3	5	12	1	2009	1729	--	
3	2	-1	5	1	3417	324	--	
2	1	-1	20	1	2440	1302	--	
4	3	-1	7	0	4576	0	--	
1	3	8	12	1	2009	2573	--	
4	3	-1	7	1	4576	8	--	
3	2	0	5	1	3417	1174	--	
1	3	11	12	2	2009	3016	3016	
4	3	0	7	1	4576	453	--	
3	2	1	5	1	3417	1615	--	
4	3	1	7	1	4576	666	--	
5	1	-1	16	0	5652	0	--	
4	3	2	7	1	4576	1080	--	
3	2	4	5	2	3417	2543	2543	
4	3	3	7	1	4576	1389	--	
5	1	-1	16	1	5652	315	--	
6	1	-1	8	0	6279	0	--	
4	3	6	7	2	4576	2010	2010	
7	2	-1	16	2	7293	0	--	
7	2	0	16	1	7293	334	--	
7	2	4	16	1	7293	1146	--	
8	2	-1	17	0	8844	0	--	
7	2	5	16	1	7293	1556	--	
9	2	-1	9	0	9762	0	--	
8	2	3	17	1	8844	1037	--	
7	2	6	16	1	7293	2590	--	
9	2	2	9	1	9762	531	--	
8	2	5	17	1	8844	1653	--	
7	2	7	16	1	7293	3206	--	
9	2	3	9	1	9762	739	--	
8	2	7	17	1	8844	1865	--	
7	2	8	16	1	7293	3419	--	
5	1	1	16	1	5652	5063	--	
9	2	5	9	1	9762	1567	--	
8	2	8	17	1	8844	2487	--	
2	1	7	20	1	2440	8894	--	
6	1	1	8	1	6279	5062	--	
7	2	9	16	1	7293	4064	--	
9	2	7	9	1	9762	2231	--	
8	2	9	17	1	8844	3152	--	
5	1	3	16	1	5652	6347	--	
2	1	8	20	1	2440	9599	--	
7	2	10	16	1	7293	4968	--	
8	2	12	17	1	8844	4431	--	
7	2	13	16	1	7293	6494	--	
8	2	14	17	1	8844	5248	--	
7	2	15	16	1	7293	6902	6902	
8	2	15	17	1	8844	5357	--	
2	1	9	20	1	2440	11763	--	
6	1	7	8	2	6279	8332	8332	
5	1	6	16	1	5652	9566	--	
2	1	10	20	1	2440	12780	--	
5	1	8	16	1	5652	9695	--	
2	1	14	20	1	2440	13715	--	
5	1	9	16	1	5652	10505	--	
2	1	15	20	1	2440	13738	--	
5	1	10	16	1	5652	10570	--	
2	1	16	20	1	2440	13799	--	
5	1	13	16	1	5652	11221	--	
2	1	19	20	2	2440	14939	14939	
5	1	14	16	1	5652	11730	--	
5	1	15	16	1	5652	11748	11748	
